epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,89564.5,0.97283,0.49333,0.80647,0.77092,0.85891,0.85089,0.56013,0.87688,0.48804,0.81187,0.000742625,0.000742625,0.000742625
43,91911.4,0.9572,0.48971,0.80576,0.82094,0.83479,0.84384,0.54983,0.88266,0.49469,0.81158,0.00073025,0.00073025,0.00073025
44,92805,0.97708,0.49788,0.80602,0.79541,0.83612,0.8458,0.55109,0.89498,0.49036,0.81357,0.000717875,0.000717875,0.000717875
45,93664.9,0.96299,0.48852,0.80401,0.79418,0.84467,0.84839,0.55216,0.87895,0.49292,0.8132,0.0007055,0.0007055,0.0007055
46,94585.3,0.95947,0.4811,0.80364,0.79593,0.83188,0.84546,0.55388,0.87607,0.48539,0.81112,0.000693125,0.000693125,0.000693125
47,95528.7,0.9648,0.48911,0.80355,0.77851,0.85748,0.84596,0.54423,0.91208,0.48506,0.81449,0.00068075,0.00068075,0.00068075
48,96406.7,0.94876,0.47249,0.80195,0.81916,0.84339,0.85304,0.5553,0.88603,0.48251,0.8124,0.000668375,0.000668375,0.000668375
49,97295.9,0.9546,0.47171,0.80374,0.81354,0.84132,0.85316,0.57,0.85405,0.46417,0.81024,0.000656,0.000656,0.000656
50,98290.8,0.93563,0.46811,0.80177,0.79972,0.86348,0.86059,0.55473,0.87631,0.47941,0.81146,0.000643625,0.000643625,0.000643625
51,99228.8,0.9605,0.4796,0.80381,0.79749,0.83371,0.85846,0.56272,0.86641,0.46753,0.81164,0.00063125,0.00063125,0.00063125
52,100192,0.93705,0.4646,0.79887,0.84041,0.84632,0.86076,0.56717,0.86998,0.4715,0.8117,0.000618875,0.000618875,0.000618875
53,101124,0.93292,0.46573,0.80132,0.81898,0.84617,0.86018,0.57216,0.87226,0.46345,0.81135,0.0006065,0.0006065,0.0006065
54,102082,0.93281,0.46478,0.79969,0.7464,0.85643,0.82453,0.5505,0.86882,0.47084,0.81074,0.000594125,0.000594125,0.000594125
55,108411,0.93078,0.45971,0.80117,0.80547,0.83908,0.85051,0.57611,0.8601,0.46267,0.8103,0.00058175,0.00058175,0.00058175
56,109453,0.92811,0.45951,0.79909,0.79619,0.85699,0.84177,0.55489,0.85601,0.46272,0.80866,0.000569375,0.000569375,0.000569375
57,110328,0.92827,0.46165,0.79916,0.76264,0.84595,0.83625,0.56198,0.86027,0.46423,0.80914,0.000557,0.000557,0.000557
58,111304,0.91236,0.45885,0.79857,0.78888,0.84905,0.8514,0.55158,0.87817,0.47451,0.81073,0.000544625,0.000544625,0.000544625
59,112295,0.94222,0.46646,0.8002,0.80695,0.85081,0.85174,0.56399,0.85689,0.46825,0.8093,0.00053225,0.00053225,0.00053225
60,113248,0.90896,0.45113,0.79824,0.79218,0.8453,0.84881,0.5658,0.8547,0.45368,0.80894,0.000519875,0.000519875,0.000519875
61,114171,0.91716,0.45449,0.79855,0.80856,0.84383,0.85901,0.5725,0.85696,0.46123,0.80833,0.0005075,0.0005075,0.0005075
62,115107,0.91391,0.4554,0.79799,0.8341,0.83429,0.86044,0.56833,0.85877,0.45867,0.80883,0.000495125,0.000495125,0.000495125
63,116014,0.9213,0.45785,0.79793,0.78371,0.85578,0.83588,0.54807,0.86658,0.47043,0.81154,0.00048275,0.00048275,0.00048275
64,116981,0.91497,0.45127,0.79849,0.79524,0.83938,0.84408,0.55851,0.85922,0.45224,0.8098,0.000470375,0.000470375,0.000470375
65,117834,0.9158,0.44713,0.79605,0.81675,0.8413,0.85717,0.56984,0.85468,0.45252,0.80881,0.000458,0.000458,0.000458
66,118741,0.90033,0.44193,0.79638,0.81844,0.8438,0.85636,0.57677,0.85811,0.45423,0.80882,0.000445625,0.000445625,0.000445625
67,119679,0.9047,0.44709,0.79708,0.83321,0.83429,0.83635,0.56215,0.85397,0.45368,0.8083,0.00043325,0.00043325,0.00043325
68,120686,0.90067,0.44353,0.7958,0.78138,0.85516,0.8514,0.56537,0.85304,0.45641,0.80886,0.000420875,0.000420875,0.000420875
69,121678,0.89346,0.4412,0.79749,0.78096,0.85906,0.83328,0.55138,0.8574,0.45278,0.80947,0.0004085,0.0004085,0.0004085
70,122597,0.90976,0.44695,0.79653,0.78658,0.85068,0.85625,0.57224,0.85599,0.45104,0.80928,0.000396125,0.000396125,0.000396125
71,123530,0.90005,0.44362,0.79807,0.80474,0.83541,0.83383,0.55951,0.854,0.46019,0.80764,0.00038375,0.00038375,0.00038375
72,124469,0.89328,0.4435,0.79629,0.80455,0.85278,0.85367,0.56276,0.85226,0.45628,0.80808,0.000371375,0.000371375,0.000371375
73,125440,0.89957,0.44397,0.7962,0.77517,0.86826,0.86058,0.58115,0.84546,0.45119,0.80753,0.000359,0.000359,0.000359
74,126413,0.88743,0.43729,0.79539,0.84145,0.83361,0.86335,0.57609,0.84932,0.45014,0.80866,0.000346625,0.000346625,0.000346625
75,127367,0.88643,0.43228,0.79466,0.8046,0.85116,0.85155,0.57701,0.85238,0.44448,0.80855,0.00033425,0.00033425,0.00033425
76,128358,0.88018,0.42705,0.79537,0.79088,0.8555,0.85207,0.57969,0.84106,0.4425,0.80772,0.000321875,0.000321875,0.000321875
77,129306,0.88178,0.42873,0.79488,0.80405,0.85403,0.86264,0.58472,0.84237,0.4392,0.80739,0.0003095,0.0003095,0.0003095
78,130217,0.87692,0.42574,0.79634,0.78961,0.85208,0.84092,0.57373,0.83865,0.44446,0.80799,0.000297125,0.000297125,0.000297125
79,131154,0.87138,0.42302,0.79543,0.81888,0.83707,0.84921,0.58054,0.82844,0.43369,0.80647,0.00028475,0.00028475,0.00028475
80,132074,0.86522,0.41925,0.79311,0.83734,0.84802,0.86282,0.57922,0.84165,0.44174,0.80757,0.000272375,0.000272375,0.000272375
81,132985,0.86494,0.42259,0.79398,0.84018,0.83654,0.85879,0.57792,0.84311,0.44679,0.80778,0.00026,0.00026,0.00026
82,133913,0.87258,0.42391,0.79276,0.86032,0.82581,0.86341,0.57632,0.8492,0.44464,0.80817,0.000247625,0.000247625,0.000247625
83,134864,0.85813,0.41723,0.79469,0.79974,0.84578,0.85195,0.57413,0.83304,0.43602,0.8067,0.00023525,0.00023525,0.00023525
84,135825,0.87371,0.42387,0.79322,0.79845,0.83874,0.85465,0.57575,0.85048,0.44188,0.80729,0.000222875,0.000222875,0.000222875
85,136804,0.85782,0.41621,0.79151,0.82765,0.84928,0.86044,0.58163,0.83246,0.43255,0.80684,0.0002105,0.0002105,0.0002105
86,137760,0.85064,0.41209,0.79272,0.80609,0.84684,0.85517,0.57429,0.83936,0.43582,0.80707,0.000198125,0.000198125,0.000198125
87,138619,0.85219,0.41092,0.79265,0.80872,0.85062,0.86117,0.57911,0.83239,0.43273,0.80639,0.00018575,0.00018575,0.00018575
88,139531,0.84092,0.40735,0.79165,0.81032,0.85089,0.85703,0.58138,0.83479,0.43621,0.80637,0.000173375,0.000173375,0.000173375
89,140465,0.84049,0.40579,0.79284,0.8123,0.8588,0.85668,0.58566,0.82698,0.42928,0.80628,0.000161,0.000161,0.000161
90,141346,0.83809,0.40396,0.79271,0.83058,0.84053,0.86066,0.58601,0.83145,0.43011,0.80612,0.000148625,0.000148625,0.000148625
91,142194,0.80585,0.39607,0.79387,0.79983,0.8471,0.84952,0.57078,0.83881,0.43687,0.80679,0.00013625,0.00013625,0.00013625
92,143064,0.79656,0.3904,0.79358,0.8175,0.84638,0.85954,0.57763,0.84216,0.4301,0.80764,0.000123875,0.000123875,0.000123875
93,143907,0.79615,0.38959,0.79243,0.80317,0.85247,0.85876,0.58158,0.83742,0.43411,0.80704,0.0001115,0.0001115,0.0001115
94,144755,0.79277,0.38568,0.79346,0.82983,0.828,0.85641,0.57596,0.84047,0.43793,0.8066,9.9125e-05,9.9125e-05,9.9125e-05
95,145576,0.79485,0.38572,0.79176,0.82053,0.84433,0.86182,0.57914,0.83366,0.43353,0.80659,8.675e-05,8.675e-05,8.675e-05
96,146446,0.78423,0.38166,0.7911,0.80895,0.8485,0.86296,0.58017,0.83421,0.42886,0.80604,7.4375e-05,7.4375e-05,7.4375e-05
97,147317,0.77428,0.37738,0.79142,0.8042,0.85044,0.85961,0.58418,0.82874,0.43,0.80586,6.2e-05,6.2e-05,6.2e-05
98,148172,0.77502,0.37702,0.79149,0.8219,0.85052,0.85807,0.5841,0.82954,0.42891,0.8061,4.9625e-05,4.9625e-05,4.9625e-05
99,149055,0.77708,0.37716,0.79048,0.82949,0.84181,0.85843,0.57831,0.83009,0.42951,0.8056,3.725e-05,3.725e-05,3.725e-05
100,149915,0.76983,0.37377,0.78965,0.82664,0.84425,0.86166,0.58249,0.82774,0.42539,0.80573,2.4875e-05,2.4875e-05,2.4875e-05
